frameNum,rotation,translation,imu angular velocity,imu linear velocity,groundtruth
20,"[[[[-0.28767724  0.93035121  0.22735089], [-0.77746361 -0.36547989  0.51183472], [ 0.55927823 -0.02951384  0.82845446]]]]","[[[[ 0.35105265], [-0.03780556], [-0.93559221]]]]","[-0.0984365698125, -0.0628318530718, 0.0949459113085]","[7.036271375, 0.302371708333, -1.85509129167]","[0.0203769914727, -0.0023502811582, -0.439526663853]"
21,"[[[[-0.23004376  0.55988486  0.79599548], [-0.79062636  0.36939835 -0.48831836], [-0.56744148 -0.7416696   0.35768195]]]]","[[[[-0.75607716], [ 0.38202103], [-0.53142005]]]]","[-0.128456232947, -0.0872664625997, -0.0642281164734]","[8.81781279167, 0.645604458333, -2.8439285]","[-0.00277141252621, 0.00232582030841, -0.0278104118308]"
22,"[[[[ 0.21745385  0.56024472  0.79927447], [ 0.89058959  0.22123715 -0.39737173], [-0.39945463  0.79823554 -0.45083925]]]]","[[[[-0.52129068], [-0.24400128], [ 0.81775265]]]]","[0.27157323161, -0.208741378539, 0.00558505360638]","[9.87202766667, 0.514849125, -4.57643666667]","[0.0176055789465, -2.4460849793e-05, -0.467337075684]"
23,"[[[[ 0.66294895  0.74141157 -0.10395943], [-0.73670321  0.6707598   0.08573018], [ 0.13329315  0.01975251  0.9908798 ]]]]","[[[[-0.19282692], [-0.44032277], [ 0.87688861]]]]","[0.171740398396, -0.312763001957, 0.249931148886]","[9.82299441667, 0.0817220833333, -4.40482029167]","[-0.00579573961478, -0.0125149583071, 0.269408606145]"
24,"[[[[ 0.56163148 -0.66264053  0.49545697], [-0.76035838 -0.64946912 -0.00670766], [ 0.32622877 -0.37295763 -0.86860658]]]]","[[[[-0.3567397], [-0.41081233], [ 0.83902921]]]]","[-0.339990138288, -0.479616478448, 0.0991347015133]","[8.71974629167, -0.416782625, -4.98504708333]","[-0.0153547316002, 8.18209095639e-05, 0.0260942923627]"
25,"[[[[ 0.89908093 -0.43702524 -0.02573772], [ 0.41547219  0.83325736  0.36478079], [-0.13797227 -0.33866076  0.93073763]]]]","[[[[ 0.37987204], [ 0.08347329], [-0.92126513]]]]","[-0.0349065850399, -0.374198591628, 0.214326432145]","[7.43670958333, -0.04903325, -5.93302325]","[-0.00221847486704, 0.00663603611098, -0.0134474343134]"
26,"[[[[ 0.75078089  0.65388667  0.09359636], [-0.41692821  0.57900128 -0.70066282], [-0.51234649  0.48702129  0.7073269 ]]]]","[[[[-0.49971836], [-0.12079757], [ 0.85772344]]]]","[0.051661745859, -0.222704012554, 0.00418879020479]","[7.673703625, 0.24516625, -6.08829520833]","[-0.00759247231489, 0.00611135060162, -0.0120159202828]"
27,"[[[[-0.92266267 -0.07199574 -0.37882742], [ 0.15953422 -0.96566554 -0.20503391], [-0.35105901 -0.24961307  0.90246933]]]]","[[[[ 0.42639968], [-0.4141299], [ 0.804164]]]]","[0.0425860337487, 0.187099295814, 0.0649262481742]","[7.01992695833, -0.424954833333, -6.03926195833]","[-0.012520108958, -0.00532373553167, -0.00785253982754]"
28,"[[[[ 0.48324431 -0.65005006  0.58643827], [ 0.5874703   0.73741638  0.33331024], [-0.64911754  0.18344479  0.73823738]]]]","[[[[-0.40897026], [ 0.06993316], [-0.9098641]]]]","[0.0188495559215, -0.0349065850399, -0.00349065850399]","[7.5511205, -0.0653776666667, -6.31711704167]","[-0.00792172901001, -0.0225190961534, -0.00535599508791]"
29,"[[[[-0.6371108   0.60940557 -0.47192656], [ 0.3280592   0.76844842  0.54942169], [ 0.69747186  0.19522264 -0.68950789]]]]","[[[[ 0.15605986], [-0.19810015], [ 0.96767849]]]]","[-0.0432841654495, -0.0160570291183, 0.106814150222]","[7.453054, 0.6864655, -6.21905054167]","[0.011539743857, -0.0122440032432, 6.0261358096e-05]"
30,"[[[[-0.71833365 -0.69262134 -0.06536388], [ 0.67476334 -0.67075972 -0.30785685], [ 0.16938477 -0.26524909  0.94918477]]]]","[[[[ 0.1629452], [-0.22757863], [ 0.9600296]]]]","[-0.0328121899375, 0.00698131700798, 0.175929188601]","[7.48574283333, 0.0572054583333, -6.300772625]","[0.00518357804278, -0.0329500521595, 0.00140989709869]"
31,"[[[[ 0.33880064  0.69156033  0.63793294], [-0.7706084   0.59297101 -0.23355528], [-0.53979331 -0.41246781  0.73382116]]]]","[[[[ 0.30137646], [-0.19074715], [ 0.9342311]]]]","[-0.127059969545, 0.127059969545, 0.168249739892]","[7.10982125, -0.547537958333, -6.16184508333]","[-0.0181971495234, -0.090785876375, 0.000409031785583]"
32,"[[[[ 0.05998434  0.99430338 -0.08810603], [-0.44538922  0.10565169  0.88908164], [ 0.89332543 -0.0140895   0.44918945]]]]","[[[[ 0.29216754], [-0.31971634], [ 0.90134322]]]]","[-0.12287117934, -0.154287105876, 0.190589954318]","[7.183371125, -1.31572554167, -6.472389]","[-0.0216093002491, -0.0900952009115, -0.00049387686457]"
33,"[[[[ 0.3634876  -0.88950693 -0.27686491], [ 0.52822046  0.44158936 -0.72524615], [ 0.76737208  0.11737227  0.63036802]]]]","[[[[-0.01255215], [ 0.38566315], [-0.92255427]]]]","[0.0614355896702, 0.0837758040957, 0.0684169066782]","[7.07713241667, -1.09507591667, -6.70121083333]","[-0.0131381941043, -0.0575499495716, 0.0084112749085]"
34,"[[[[ 0.48822764 -0.23909264 -0.83932621], [-0.2603856  -0.95784331  0.12139004], [-0.83296645  0.15928249 -0.52990185]]]]","[[[[ 0.45609431], [-0.05691711], [ 0.88810947]]]]","[-0.062133721371, 0.00279252680319, 0.0328121899375]","[7.53477608333, -1.43830866667, -6.81562175]","[-0.00908406752536, -0.0289821274043, 0.00820365270204]"
35,"[[[[ 0.07916458  0.99636902  0.03133291], [-0.36145002  0.05798256 -0.93058686], [-0.92902468  0.06234424  0.36472776]]]]","[[[[-0.20113659], [-0.1959491], [ 0.95976457]]]]","[0.0712094334814, -0.0460766922527, 0.0013962634016]","[7.085304625, -0.956148375, -6.40701133333]","[0.000573495341232, 0.0197784630384, -0.00208925946863]"
36,"[[[[-0.919962    0.31257987 -0.23656657], [-0.12829943 -0.81032388 -0.57176434], [-0.37041756 -0.49565011  0.785571  ]]]]","[[[[ 0.15430653], [-0.21078913], [ 0.96527583]]]]","[0.106814150222, 0.120776784238, 0.00209439510239]","[7.31412645833, -0.473988083333, -6.41518354167]","[0.0122725663548, 0.0670040085979, -0.0040232400053]"
37,"[[[[-0.84399726  0.51951042 -0.13333247], [ 0.38757517  0.76258244  0.51793195], [ 0.37074805  0.38545679 -0.84496683]]]]","[[[[ 0.30678096], [-0.23722552], [ 0.92174264]]]]","[0.110304808726, -0.0460766922527, -0.0202458193231]","[6.742071875, -0.751843166667, -5.96571208333]","[0.0258780240427, 0.121817707114, -0.0122683783365]"
38,"[[[[-0.60732032  0.65492343 -0.44970804], [-0.41528541 -0.74426947 -0.52306881], [-0.67727399 -0.13091313  0.72399012]]]]","[[[[ 0.39999675], [ 0.13358374], [-0.90672928]]]]","[0.0593411945678, 0.072605696883, 0.0565486677646]","[7.09347683333, -0.375921583333, -6.06377858333]","[0.0238375697556, 0.0920434685287, -0.00741560003179]"
39,"[[[[ 0.96913419 -0.18267557  0.1655553 ], [-0.10373116 -0.911344   -0.39836159], [ 0.22364877  0.3688926  -0.90216378]]]]","[[[[-0.55358915], [ 0.02233741], [ 0.83249029]]]]","[0.151494579073, -0.0795870138909, -0.00488692190558]","[7.134337875, 0.212477416667, -6.12098404167]","[0.0356315480479, 0.13941802908, 0.000414946172179]"
40,"[[[[-0.17971692 -0.40038074  0.89855278], [-0.68437107  0.70703194  0.17816306], [-0.70663857 -0.58292461 -0.4010746 ]]]]","[[[[-0.98234116], [ 0.04586565], [ 0.18138957]]]]","[0.114493598931, 0.142418866963, 0.0160570291183]","[7.37133191667, 0.228821833333, -6.50507783333]","[0.0222197579972, 0.0813984402288, 0.00591029474773]"
41,"[[[[-0.47080976 -0.73117844 -0.49367627], [ 0.79744524 -0.59206038  0.11638553], [-0.37738475 -0.33888435  0.86182257]]]]","[[[[ 0.18220478], [ 0.18877161], [-0.96496979]]]]","[-0.0614355896702, -0.0223402144255, 0.0537561409614]","[7.48574283333, 0.473988083333, -6.26808379167]","[0.0154781373164, 0.0702154421603, 0.00568245156696]"
42,"[[[[ 0.85740965  0.50831572 -0.08039785], [-0.51367135  0.83574376 -0.19409821], [-0.03147117  0.20771975  0.97768199]]]]","[[[[ 0.51317247], [ 0.01770656], [-0.85810285]]]]","[-0.152192710774, 0.0795870138909, 0.0488692190558]","[7.624670375, 0.0653776666667, -6.33346145833]","[-0.012213435057, -0.0116997330114, -0.00499463249497]"
43,"[[[[-0.97009528 -0.24191555 -0.01979946], [-0.24099873  0.96969803 -0.04006675], [ 0.02889227 -0.03409692 -0.99900082]]]]","[[[[-0.56412021], [-0.04688301], [ 0.82436059]]]]","[-0.0781907504893, -0.0467748239534, 0.169646003294]","[7.46939841667, -0.302371708333, -5.91667883333]","[-0.0172017887611, -0.0387654246334, -0.00522735981019]"
44,"[[[[-0.05272231 -0.35942831 -0.93168216], [ 0.23587265 -0.91106253  0.33812595], [-0.97035275 -0.20193156  0.13281262]]]]","[[[[-0.03878713], [-0.32509361], [ 0.94488608]]]]","[0.0356047167407, 0.0523598775598, 0.0851720674973]","[7.36315970833, -0.604743416667, -6.35797808333]","[-0.0384753754073, -0.117159386115, -0.00127121038639]"
45,"[[[[ 0.59551368 -0.80222244 -0.04245714], [ 0.77989918  0.56465018  0.27005081], [-0.19266739 -0.19393124  0.96190953]]]]","[[[[-0.13371464], [-0.31160595], [ 0.94075615]]]]","[-0.0733038285838, -0.0404916386463, 0.11379546723]","[6.9627215, -1.446480875, -6.29260041667]","[-0.0341551037169, -0.136605298246, 0.00689921286701]"
46,"[[[[ 0.32049256  0.45097233  0.83301169], [-0.72073427  0.68674138 -0.09449013], [-0.61467603 -0.57009669  0.54512672]]]]","[[[[-0.55889941], [ 0.23364442], [-0.7956392]]]]","[-0.247138622082, 0.213628300444, 0.15777776438]","[7.39584854167, -0.858081875, -6.30894483333]","[-0.012969598009, -0.0715554272708, 0.00852616633126]"
47,"[[[[-0.19418581 -0.9798122   0.0475386 ], [ 0.93314732 -0.19944884 -0.29909237], [ 0.30253587 -0.01371898  0.95303926]]]]","[[[[ 0.36028673], [-0.31513937], [ 0.87799809]]]]","[-0.219911485751, 0.466351976133, 0.106814150222]","[7.87800883333, -0.523021333333, -6.006573125]","[-0.0042107704699, -0.0505055975081, 0.023714054686]"
48,"[[[[ 0.10634501 -0.99041053 -0.08819144], [-0.62984899 -0.13572873  0.76476661], [-0.76940301 -0.02578182 -0.63824314]]]]","[[[[ 0.00172446], [-0.27397552], [ 0.96173512]]]]","[-0.210835773641, -0.117984257435, 0.283441470524]","[8.45006341667, 0.155271958333, -4.87063616667]","[0.00114337069406, -0.00758423471812, 0.00474298684251]"
49,"[[[[-0.51653386 -0.42956157  0.74072237], [-0.83505255  0.06134306 -0.54673967], [ 0.18942017 -0.90095165 -0.39039226]]]]","[[[[-0.96499622], [-0.1099051], [ 0.23812427]]]]","[0.0132645023152, -0.130550628049, 0.120776784238]","[7.9433865, -1.16045358333, -5.44269075]","[0.0247635508102, -0.0337816520584, 0.000216915722642]"
50,"[[[[-0.05473904 -0.66081223 -0.74855249], [-0.93092008  0.30488747 -0.20107568], [ 0.36109755  0.68583586 -0.63185262]]]]","[[[[ 0.50325209], [-0.19532191], [ 0.84177591]]]]","[0.320442450666, 0.208741378539, -0.100530964915]","[7.232404375, -1.52003075, -5.99022870833]","[0.0548612612164, -0.0534972298342, 0.00403082287744]"
51,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0267745964875, -0.00811137015619, -0.00178934579298]"
52,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0816358577039, -0.0616085999904, 0.00224147708446]"
53,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0267745964875, -0.00811137015619, -0.00178934579298]"
54,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
55,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
56,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
57,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
58,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
59,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
60,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
61,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
62,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
63,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
64,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
65,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
66,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
67,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
68,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
69,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
70,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
71,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
72,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
73,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
74,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
75,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
76,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
